Exception Archive
Fold  0
86 1047102_02_CM.txt 85 85 85 (91, 156) (91, 170) 91 91
87 1007092_02_CM.txt 86 86 86 (144, 156) (144, 170) 144 144
88 1016192_02_CM.txt 87 87 87 (71, 156) (71, 170) 71 71
89 1069702_02_KH.txt 88 88 88 (166, 156) (166, 170) 166 166
90 1057562_02_CM.txt 89 89 89 (95, 156) (95, 170) 95 95
91 1046952_02_CM.txt 90 90 90 (100, 156) (100, 170) 100 100
92 1023162_02_KH.txt 91 91 91 (162, 156) (162, 170) 162 162
93 1029722_02_KH.txt 92 92 92 (179, 156) (179, 170) 179 179
94 1026162_02_KH.txt 93 93 93 (128, 156) (128, 170) 128 128
95 1012472_02_CM.txt 94 94 94 (80, 156) (80, 170) 80 80
96 1075962_02_CM.txt 95 95 95 (221, 156) (221, 170) 221 221
97 1024252_02_KH.txt 96 96 96 (104, 156) (104, 170) 104 104
98 1047072_02_KH.txt 97 97 97 (135, 156) (135, 170) 135 135
99 1085332_02_CM.txt 98 98 98 (115, 156) (115, 170) 115 115
100 1022442_02_CM.txt 99 99 99 (207, 156) (207, 170) 207 207
101 1044802_02_CM.txt 100 100 100 (95, 156) (95, 170) 95 95
102 1090322_02_KH.txt 101 101 101 (156, 156) (156, 170) 156 156
103 1012242_02_CM.txt 102 102 102 (112, 156) (112, 170) 112 112
104 1079252_02_KH.txt 103 103 103 (133, 156) (133, 170) 133 133
105 1111182_02_CM.txt 104 104 104 (50, 156) (50, 170) 50 50
106 1066612_02_CM.txt 105 105 105 (180, 156) (180, 170) 180 180
108 1041852_02_CM.txt 106 106 106 (68, 156) (68, 170) 68 68
109 1023382_02_CM.txt 107 107 107 (261, 156) (261, 170) 261 261
110 1110532_02_CM.txt 108 108 108 (115, 156) (115, 170) 115 115
111 1046882_02_CM.txt 109 109 109 (96, 156) (96, 170) 96 96
112 1020682_02_CM.txt 110 110 110 (147, 156) (147, 170) 147 147
113 1011402_02_KH.txt 111 111 111 (107, 156) (107, 170) 107 107
114 1050312_02_KH.txt 112 112 112 (97, 156) (97, 170) 97 97
115 1013872_02_KH.txt 113 113 113 (141, 156) (141, 170) 141 141
116 1047042_02_CM.txt 114 114 114 (105, 156) (105, 170) 105 105
118 1057382_02_CM.txt 115 115 115 (117, 156) (117, 170) 117 117
119 1039282_02_KH.txt 116 116 116 (154, 156) (154, 170) 154 154
120 1011422_02_CM.txt 117 117 117 (190, 156) (190, 170) 190 190
121 1016292_02_CM.txt 118 118 118 (148, 156) (148, 170) 148 148
Fold  1
0 1071742_02_KH.txt 1 1 1 (93, 156) (93, 170) 93 93
1 1076482_02_CM.txt 2 2 2 (94, 156) (94, 170) 94 94
2 1008122_02_CM.txt 3 3 3 (51, 156) (51, 170) 51 51
3 1089792_02_KH.txt 4 4 4 (170, 156) (170, 170) 170 170
4 1083402_02_CM.txt 5 5 5 (60, 156) (60, 170) 60 60
